Y,Trt,Time,X_1,X_2,X_3,ID
15.53876591,1,0,11.49482259,6.586033714,0.522127736,260005
15.0797596,1,1,11.50277411,6.586033714,0.522127736,260005
17.86691475,1,0,10.50638174,4.531523646,0.521488828,260010
15.79735756,1,1,10.515045,4.531523646,0.521488828,260010
16.19411659,1,0,9.843419026,2.468099531,0.502445127,260020
14.9206686,1,1,9.863966794,2.468099531,0.502445127,260020
14.80064869,1,0,10.08801501,4.72366408,0.517835883,260030
13.31574345,1,1,10.10454908,4.72366408,0.517835883,260030
15.59007454,1,0,10.47285563,4.127940512,0.498111497,260040
13.75427151,1,1,10.49238471,4.127940512,0.498111497,260040
18.08852768,1,0,10.65235322,3.815732345,0.511221573,260050
15.78576469,1,1,10.66501742,3.815732345,0.511221573,260050
12.20795631,1,0,9.56472269,4.145671189,0.49756523,260060
13.3166008,1,1,9.577133949,4.145671189,0.49756523,260060
15.97469139,1,0,10.55184655,4.921148128,0.503434451,260070
11.94458961,1,1,10.55218638,4.921148128,0.503434451,260070
10.45128536,1,0,10.03749383,3.895487037,0.503153939,260080
10.27097893,1,1,10.03828065,3.895487037,0.503153939,260080
14.91150475,1,0,10.02570519,4.53667719,0.499339077,260090
13.78030968,1,1,10.02945919,4.53667719,0.499339077,260090
14.53972912,1,0,9.287116211,4.459334838,0.50813566,260100
13.23042965,1,1,9.302463661,4.459334838,0.50813566,260100
16.03513336,1,0,9.882366056,5.28188306,0.502808989,260105
14.58049583,1,1,9.905784912,5.28188306,0.502808989,260105
19.34362793,1,0,11.31813854,3.709661993,0.510543065,260110
18.07971001,1,1,11.33004775,3.709661993,0.510543065,260110
15.94815159,1,0,11.19372521,5.278369729,0.529472475,260120
14.00170708,1,1,11.20032209,5.278369729,0.529472475,260120
12.09268665,1,0,9.533148246,4.713486329,0.490059487,260130
10.6017189,1,1,9.553291575,4.713486329,0.490059487,260130
20.23560715,1,0,10.64789803,5.162153942,0.511808897,260140
17.07681084,1,1,10.65327496,5.162153942,0.511808897,260140
12.84543228,1,0,9.378647517,5.036692828,0.503655421,260150
12.44743443,1,1,9.387733136,5.036692828,0.503655421,260150
17.1638546,1,0,9.937067386,2.403334996,0.508221004,260160
16.34745598,1,1,9.936535407,2.403334996,0.508221004,260160
15.85338306,1,0,11.22776022,4.716979861,0.519825491,260170
13.84729576,1,1,11.23491646,4.716979861,0.519825491,260170
15.13574123,1,0,9.432443382,2.266957915,0.499458469,260180
12.04338837,1,1,9.440578696,2.266957915,0.499458469,260180
12.63576794,1,0,11.0071703,4.783567386,0.521885866,260190
11.21157932,1,1,11.00988612,4.783567386,0.521885866,260190
13.52044296,1,0,10.52015857,3.079613758,0.498805393,260200
14.76578426,1,1,10.53398776,3.079613758,0.498805393,260200
14.03501415,1,0,10.76899013,4.050740925,0.516427488,260210
11.80805588,1,1,10.77876877,4.050740925,0.516427488,260210
12.32186031,1,0,10.56808093,5.154273771,0.511526463,260220
10.07064915,1,1,10.57070135,5.154273771,0.511526463,260220
16.02580833,1,0,10.54865174,4.55345575,0.505483682,260230
15.77676296,1,1,10.54715558,4.55345575,0.505483682,260230
19.89552116,1,0,9.104646467,4.013676659,0.509950249,260240
17.92274284,1,1,9.102755161,4.013676659,0.509950249,260240
15.01139259,1,0,8.917444732,4.230622181,0.506226906,260250
10.98459435,1,1,8.917846743,4.230622181,0.506226906,260250
14.46051121,1,0,10.79026708,4.081934542,0.509074812,260260
12.36428833,1,1,10.81222987,4.081934542,0.509074812,260260
14.2581892,1,0,9.470779708,4.901861553,0.505703119,260270
13.44912434,1,1,9.476543413,4.901861553,0.505703119,260270
15.72366428,1,0,10.93137332,3.654805474,0.507897515,260280
14.75479412,1,1,10.9529096,3.654805474,0.507897515,260280
15.91806126,1,0,12.19799511,6.026638622,0.50893663,260290
15.07823372,1,1,12.21916655,6.026638622,0.50893663,260290
17.28170013,1,0,10.40198753,2.924236272,0.512454248,260300
15.39895916,1,1,10.42100076,2.924236272,0.512454248,260300
11.75995541,1,0,9.894093567,4.653769856,0.516233594,260310
11.47639561,1,1,9.90757917,4.653769856,0.516233594,260310
14.69851971,1,0,10.23860172,4.390242789,0.504383489,260320
13.5355978,1,1,10.25153539,4.390242789,0.504383489,260320
12.70352459,1,0,9.32170284,4.51338379,0.499685393,260330
13.19806099,1,1,9.314159701,4.51338379,0.499685393,260330
14.44231796,1,0,8.656433259,3.449987546,0.51805949,260340
15.48364639,1,1,8.65538869,3.449987546,0.51805949,260340
16.23835373,1,0,11.93719924,7.945176327,0.520911495,260345
14.79322624,1,1,11.95265028,7.945176327,0.520911495,260345
11.08048534,1,0,9.805874724,5.463831805,0.513447147,260350
12.24445152,1,1,9.822277497,5.463831805,0.513447147,260350
15.54158306,1,0,9.03943342,5.381692975,0.499019127,260360
12.54289436,1,1,9.044521887,5.381692975,0.499019127,260360
14.87317562,1,0,10.12169896,4.059753117,0.495738347,260370
13.93026829,1,1,10.11855861,4.059753117,0.495738347,260370
14.44783306,1,0,9.903637541,4.064915752,0.501250447,260380
14.34928226,1,1,9.903187508,4.064915752,0.501250447,260380
14.7494154,1,0,9.865526046,3.770920164,0.506514483,260390
13.30709839,1,1,9.871996885,3.770920164,0.506514483,260390
24.40390396,1,0,9.43332391,2.462149663,0.491682227,260392
22.13934326,1,1,9.449829602,2.462149663,0.491682227,260392
13.75311756,1,0,11.29227879,6.247094649,0.524927195,260400
11.70809937,1,1,11.31305889,6.247094649,0.524927195,260400
16.76111412,1,0,12.74355967,5.835015394,0.526366096,260410
14.64974594,1,1,12.77049401,5.835015394,0.526366096,260410
11.69920349,1,0,9.560222296,4.777525578,0.50610199,260415
9.916309357,1,1,9.564301637,4.777525578,0.50610199,260415
14.51261616,1,0,10.61793134,5.206695377,0.516049709,260420
13.27080631,1,1,10.64220543,5.206695377,0.516049709,260420
13.56911469,1,0,9.343384146,4.139795825,0.499814437,260430
14.41472721,1,1,9.359363643,4.139795825,0.499814437,260430
16.48225784,1,0,9.480749116,5.545099316,0.50854563,260440
16.05574036,1,1,9.495669679,5.545099316,0.50854563,260440
15.42027378,1,0,9.958969562,5.469451578,0.504295575,260450
13.39222813,1,1,9.971239655,5.469451578,0.504295575,260450
14.59113598,1,0,10.15159685,5.601639001,0.512231282,260460
14.90861225,1,1,10.16615946,5.601639001,0.512231282,260460
12.06569099,1,0,9.792667717,3.970291914,0.505712153,260470
12.24467087,1,1,9.799958692,3.970291914,0.505712153,260470
17.18947983,1,0,9.443355043,4.811371017,0.503453261,260480
15.55432129,1,1,9.439943018,4.811371017,0.503453261,260480
14.10770512,1,0,9.544237868,4.074141855,0.504859454,260490
10.88694286,1,1,9.419952789,4.074141855,0.504859454,260490
16.61408997,1,0,10.07638989,5.400783698,0.527575887,260500
14.84961605,1,1,10.08201024,5.400783698,0.527575887,260500
14.85258865,1,0,10.48810253,3.182626692,0.508137646,260510
12.93282127,1,1,10.50435496,3.182626692,0.508137646,260510
13.40615654,1,0,9.805102651,2.397895273,0.488266241,260515
12.1711607,1,1,9.826066406,2.397895273,0.488266241,260515
23.58427048,1,0,11.11108877,5.209868593,0.509564369,260520
15.06336975,1,1,11.12489253,5.209868593,0.509564369,260520
15.81101799,1,0,10.37358493,3.163363115,0.510525983,260530
13.59138203,1,1,10.36904381,3.163363115,0.510525983,260530
13.762743,1,0,9.979522239,5.252063982,0.515239901,260540
14.00340843,1,1,9.991315263,5.252063982,0.515239901,260540
7.633587837,1,0,7.966239777,5.040517669,0.508745247,260545
8.879781723,1,1,7.997663127,5.040517669,0.508745247,260545
9.909304619,1,0,9.384965722,4.851483239,0.506386702,260550
13.63104153,1,1,9.393328373,4.851483239,0.506386702,260550
11.59343338,1,0,10.02566094,3.103240481,0.506608327,260560
10.04869366,1,1,10.02468697,3.103240481,0.506608327,260560
14.65585804,1,0,10.35631323,2.084429083,0.507222127,260570
13.51733685,1,1,10.37822994,2.084429083,0.507222127,260570
9.444629669,1,0,9.618136095,4.207673248,0.510389701,260580
8.785837173,1,1,9.631285051,4.207673248,0.510389701,260580
12.50628662,1,0,10.30310225,4.691806493,0.494769275,260590
12.01300812,1,1,10.32305279,4.691806493,0.494769275,260590
17.34477806,1,0,11.82088064,5.642651475,0.528808111,260600
15.91021919,1,1,11.8336312,5.642651475,0.528808111,260600
12.65360355,1,0,10.31261262,4.829672813,0.511837072,260610
11.7794981,1,1,10.31969476,4.829672813,0.511837072,260610
16.7073288,1,0,11.26816239,5.015423811,0.515572947,260620
14.6394825,1,1,11.27644335,5.015423811,0.515572947,260620
15.99558735,1,0,8.889032572,2.574899688,0.496571845,260630
14.91108036,1,1,8.904222737,2.574899688,0.496571845,260630
15.59439754,1,0,11.30446114,5.019661105,0.517329776,260640
12.94292927,1,1,11.32151069,5.019661105,0.517329776,260640
15.92827034,1,0,9.850086776,3.364187556,0.5,260650
13.09630299,1,1,9.855137292,3.364187556,0.5,260650
16.65316963,1,0,10.25425005,2.623943692,0.504711731,260660
14.78762436,1,1,10.26806122,2.623943692,0.504711731,260660
12.30729389,1,0,8.951440101,3.682358237,0.496814441,260670
10.61763573,1,1,8.952864142,3.682358237,0.496814441,260670
15.18225002,1,0,11.61655548,5.810781647,0.516609326,260680
13.89666843,1,1,11.64356769,5.810781647,0.516609326,260680
